"Group","Category","Members","Status","Attempts","Member reads","Clicks","Media views","Interactions","Error code","Error"
"Rohtak Forum 55 - Emergency Response","Emergency Response","94","read","1","34","1","0","0","",""
"Agra Block 7 - Emergency Response","Emergency Response","556","read","1","275","0","0","1","",""
"Gurugram Ward 32 - Emergency Response","Emergency Response","946","read","1","251","0","0","1","",""
"Patiala Network 45 - Emergency Response","Emergency Response","447","delivered","1","0","0","0","0","",""
"Karnal Cell 11 - Emergency Response","Emergency Response","353","read","1","236","2","0","0","",""
"Agra Circle 41 - Emergency Response","Emergency Response","644","read","1","229","0","0","0","",""
"Faridabad Chapter 23 - Emergency Response","Emergency Response","785","read","1","406","0","0","0","",""
"Rohtak Ward 56 - Emergency Response","Emergency Response","537","delivered","1","0","0","0","0","",""
"Sonipat Ward 3 - Emergency Response","Emergency Response","772","read","1","597","0","0","0","",""
"Shimla Forum 15 - Emergency Response","Emergency Response","283","delivered","1","0","0","0","0","",""
"Dehradun Circle 40 - Emergency Response","Emergency Response","265","read","1","160","0","0","0","",""
"Patiala Circle 10 - Emergency Response","Emergency Response","324","failed","3","0","0","0","0","131000","Something went wrong"
"Sonipat Chapter 27 - Emergency Response","Emergency Response","272","delivered","1","0","0","0","0","",""
"Bhiwani Circle 31 - Emergency Response","Emergency Response","820","read","1","629","0","0","0","",""
"Karnal Cell 5 - Emergency Response","Emergency Response","659","read","1","418","0","0","0","",""
"Meerut Ward 41 - Emergency Response","Emergency Response","544","read","1","406","0","0","0","",""
"Rohtak Circle 5 - Emergency Response","Emergency Response","314","read","1","257","0","0","0","",""
"Amritsar Circle 50 - Emergency Response","Emergency Response","780","read","1","586","0","0","0","",""
"Ambala Sector 31 - Emergency Response","Emergency Response","352","failed","3","0","0","0","0","131000","Something went wrong"
"Kota Network 20 - Emergency Response","Emergency Response","292","failed","1","0","0","0","0","131049","Not delivered to maintain healthy ecosystem engagement"
"Dehradun Circle 39 - Emergency Response","Emergency Response","68","read","1","54","0","0","0","",""
"Noida Council 40 - Emergency Response","Emergency Response","838","read","1","282","0","0","0","",""
"Meerut Forum 35 - Emergency Response","Emergency Response","350","read","1","88","0","0","0","",""
"Shimla Circle 50 - Emergency Response","Emergency Response","61","read","1","22","0","0","0","",""
"Dehradun Ward 57 - Emergency Response","Emergency Response","106","read","1","33","0","0","0","",""
"Faridabad Network 53 - Emergency Response","Emergency Response","87","read","1","29","0","0","0","",""
"Agra Block 28 - Emergency Response","Emergency Response","589","read","1","288","3","0","0","",""
"Amritsar Circle 52 - Emergency Response","Emergency Response","892","read","1","534","0","0","0","",""
"Solan Unit 21 - Emergency Response","Emergency Response","996","read","1","321","0","0","0","",""
"Patiala Sector 22 - Emergency Response","Emergency Response","98","delivered","1","0","0","0","0","",""
"Bhiwani Unit 39 - Emergency Response","Emergency Response","669","read","1","318","3","0","0","",""
"Noida Cell 42 - Emergency Response","Emergency Response","745","read","1","530","2","0","0","",""
"Yamunanagar Network 15 - Emergency Response","Emergency Response","970","read","1","568","0","0","0","",""
"Hisar Council 26 - Emergency Response","Emergency Response","880","read","1","404","0","0","0","",""
"Hisar Circle 9 - Emergency Response","Emergency Response","561","read","1","433","0","0","0","",""
"Kota Chapter 11 - Emergency Response","Emergency Response","721","read","1","357","0","0","0","",""
"Haridwar Network 57 - Emergency Response","Emergency Response","505","delivered","1","0","0","0","0","",""
"Shimla Network 29 - Emergency Response","Emergency Response","655","read","1","500","0","0","0","",""
"Dehradun Circle 24 - Emergency Response","Emergency Response","264","read","1","206","1","0","0","",""
"Amritsar Network 2 - Emergency Response","Emergency Response","481","read","1","148","0","0","0","",""
"Gurugram Cell 14 - Emergency Response","Emergency Response","205","read","1","77","1","0","0","",""
"Panchkula Block 33 - Emergency Response","Emergency Response","232","read","1","80","0","0","0","",""
"Karnal Network 3 - Emergency Response","Emergency Response","492","read","1","314","0","0","0","",""
"Jalandhar Unit 26 - Emergency Response","Emergency Response","153","read","1","55","0","0","0","",""
"Ludhiana Unit 21 - Emergency Response","Emergency Response","911","read","1","645","0","0","0","",""
"Karnal Sector 45 - Emergency Response","Emergency Response","176","read","1","53","0","0","0","",""
"Haridwar Network 17 - Emergency Response","Emergency Response","626","delivered","1","0","0","0","0","",""
"Gurugram Chapter 60 - Emergency Response","Emergency Response","407","delivered","1","0","0","0","0","",""
"Sirsa Chapter 23 - Emergency Response","Emergency Response","440","failed","1","0","0","0","0","131047","Re-engagement message required"
"Patiala Council 50 - Emergency Response","Emergency Response","483","read","1","346","0","0","0","",""
"Jaipur Council 27 - Emergency Response","Emergency Response","120","delivered","1","0","0","0","0","",""
"Amritsar Forum 13 - Emergency Response","Emergency Response","558","read","1","366","0","0","0","",""
"Rohtak Circle 28 - Emergency Response","Emergency Response","699","read","1","203","0","0","0","",""
"Noida Network 27 - Emergency Response","Emergency Response","555","read","1","150","0","0","0","",""
"Yamunanagar Council 49 - Emergency Response","Emergency Response","148","delivered","1","0","0","0","0","",""
"Gurugram Unit 12 - Emergency Response","Emergency Response","51","read","1","36","0","0","0","",""
"Hisar Chapter 45 - Emergency Response","Emergency Response","895","delivered","1","0","0","0","0","",""
"Hisar Council 53 - Emergency Response","Emergency Response","149","read","1","65","0","0","0","",""
"Rohtak Chapter 33 - Emergency Response","Emergency Response","169","read","1","54","0","0","0","",""
"Bhiwani Council 6 - Emergency Response","Emergency Response","448","read","1","121","0","0","0","",""
"Dehradun Council 34 - Emergency Response","Emergency Response","417","delivered","1","0","0","0","0","",""
"Faridabad Cell 60 - Emergency Response","Emergency Response","864","delivered","1","0","0","0","0","",""
"Sonipat Ward 48 - Emergency Response","Emergency Response","976","read","1","637","0","0","0","",""
"Ambala Cell 49 - Emergency Response","Emergency Response","979","read","1","386","1","0","0","",""
"Shimla Forum 59 - Emergency Response","Emergency Response","435","delivered","1","0","0","0","0","",""
"Jaipur Circle 11 - Emergency Response","Emergency Response","315","read","1","84","0","0","0","",""
"Karnal Sector 12 - Emergency Response","Emergency Response","100","read","1","80","0","0","0","",""
"Sonipat Circle 1 - Emergency Response","Emergency Response","165","read","1","88","0","0","1","",""
"Rohtak Block 16 - Emergency Response","Emergency Response","755","delivered","1","0","0","0","0","",""
"Sonipat Sector 42 - Emergency Response","Emergency Response","692","read","1","387","0","0","0","",""
"Amritsar Chapter 12 - Emergency Response","Emergency Response","438","read","1","278","0","0","0","",""
"Ambala Ward 17 - Emergency Response","Emergency Response","338","delivered","1","0","0","0","0","",""
"Amritsar Cell 35 - Emergency Response","Emergency Response","270","read","1","168","0","0","0","",""
"Meerut Council 33 - Emergency Response","Emergency Response","779","delivered","1","0","0","0","0","",""
"Shimla Unit 46 - Emergency Response","Emergency Response","372","read","1","272","0","0","0","",""
"Rohtak Circle 7 - Emergency Response","Emergency Response","756","delivered","1","0","0","0","0","",""
"Yamunanagar Council 12 - Emergency Response","Emergency Response","182","delivered","1","0","0","0","0","",""
"Noida Ward 23 - Emergency Response","Emergency Response","676","read","1","368","0","0","0","",""
"Jalandhar Council 9 - Emergency Response","Emergency Response","536","delivered","1","0","0","0","0","",""
"Agra Network 58 - Emergency Response","Emergency Response","841","read","1","398","1","0","0","",""
"Noida Council 13 - Emergency Response","Emergency Response","802","read","1","671","0","0","0","",""
"Kota Chapter 41 - Emergency Response","Emergency Response","385","delivered","1","0","0","0","0","",""
"Hisar Ward 57 - Emergency Response","Emergency Response","917","delivered","1","0","0","0","0","",""
"Haridwar Block 54 - Emergency Response","Emergency Response","674","read","1","217","0","0","1","",""
"Panchkula Ward 50 - Emergency Response","Emergency Response","876","read","1","707","0","0","0","",""
"Solan Forum 59 - Emergency Response","Emergency Response","322","read","1","87","0","0","1","",""
"Hisar Block 24 - Emergency Response","Emergency Response","532","read","1","231","0","0","0","",""
"Patiala Cell 23 - Emergency Response","Emergency Response","357","failed","3","0","0","0","0","130429","Rate limit hit"
"Agra Circle 32 - Emergency Response","Emergency Response","147","read","1","109","3","0","0","",""
"Panchkula Network 3 - Emergency Response","Emergency Response","585","delivered","1","0","0","0","0","",""
"Dehradun Circle 49 - Emergency Response","Emergency Response","734","read","1","222","0","0","1","",""
"Ambala Block 48 - Emergency Response","Emergency Response","390","read","1","107","0","0","0","",""
"Hisar Ward 15 - Emergency Response","Emergency Response","1015","read","1","510","0","0","0","",""
"Ambala Circle 13 - Emergency Response","Emergency Response","368","read","1","237","2","0","0","",""
"Noida Council 19 - Emergency Response","Emergency Response","667","read","1","486","0","0","0","",""
"Meerut Unit 12 - Emergency Response","Emergency Response","968","read","1","721","0","0","0","",""
"Faridabad Cell 51 - Emergency Response","Emergency Response","991","delivered","1","0","0","0","0","",""
"Amritsar Ward 19 - Emergency Response","Emergency Response","456","read","1","173","0","0","0","",""
"Faridabad Ward 56 - Emergency Response","Emergency Response","34","delivered","1","0","0","0","0","",""
"Agra Forum 57 - Emergency Response","Emergency Response","714","delivered","1","0","0","0","0","",""
"Noida Block 36 - Emergency Response","Emergency Response","230","delivered","1","0","0","0","0","",""
"Hisar Cell 34 - Emergency Response","Emergency Response","800","read","1","572","0","0","0","",""
"Amritsar Circle 51 - Emergency Response","Emergency Response","816","delivered","1","0","0","0","0","",""
"Kota Chapter 4 - Emergency Response","Emergency Response","408","read","1","329","0","0","0","",""
"Ludhiana Chapter 52 - Emergency Response","Emergency Response","731","read","1","324","1","0","0","",""
"Gurugram Council 49 - Emergency Response","Emergency Response","236","read","1","147","0","0","0","",""
"Karnal Sector 35 - Emergency Response","Emergency Response","471","delivered","1","0","0","0","0","",""
"Hisar Council 51 - Emergency Response","Emergency Response","739","failed","1","0","0","0","0","131051","Unsupported message type"
"Dehradun Forum 59 - Emergency Response","Emergency Response","605","read","1","291","3","0","1","",""
"Shimla Circle 57 - Emergency Response","Emergency Response","349","read","1","154","0","0","0","",""
"Amritsar Chapter 45 - Emergency Response","Emergency Response","349","read","1","204","0","0","0","",""
"Sonipat Chapter 35 - Emergency Response","Emergency Response","280","read","1","140","1","0","0","",""
"Sirsa Cell 37 - Emergency Response","Emergency Response","716","read","1","249","0","0","0","",""
"Rohtak Circle 42 - Emergency Response","Emergency Response","227","read","1","79","0","0","0","",""
"Ambala Cell 5 - Emergency Response","Emergency Response","834","read","1","336","2","0","0","",""
"Noida Block 2 - Emergency Response","Emergency Response","205","delivered","1","0","0","0","0","",""
"Noida Unit 4 - Emergency Response","Emergency Response","702","read","1","290","1","0","0","",""
"Sonipat Ward 34 - Emergency Response","Emergency Response","403","read","1","334","0","0","0","",""
"Ambala Circle 8 - Emergency Response","Emergency Response","533","delivered","1","0","0","0","0","",""
"Agra Network 42 - Emergency Response","Emergency Response","1010","delivered","1","0","0","0","0","",""
"Rohtak Cell 5 - Emergency Response","Emergency Response","460","delivered","1","0","0","0","0","",""
"Hisar Council 28 - Emergency Response","Emergency Response","621","read","1","521","0","0","0","",""
"Amritsar Forum 54 - Emergency Response","Emergency Response","113","read","1","54","0","0","0","",""
"Sonipat Circle 8 - Emergency Response","Emergency Response","603","read","1","342","1","0","0","",""
"Meerut Forum 33 - Emergency Response","Emergency Response","606","delivered","1","0","0","0","0","",""
"Kota Cell 6 - Emergency Response","Emergency Response","994","read","1","489","0","0","0","",""
"Faridabad Block 40 - Emergency Response","Emergency Response","432","delivered","1","0","0","0","0","",""
"Faridabad Ward 28 - Emergency Response","Emergency Response","809","read","1","288","0","0","0","",""
"Noida Forum 8 - Emergency Response","Emergency Response","517","read","1","242","0","0","0","",""
"Gurugram Council 1 - Emergency Response","Emergency Response","647","delivered","1","0","0","0","0","",""
"Noida Sector 59 - Emergency Response","Emergency Response","670","read","1","291","2","0","0","",""
"Sonipat Forum 23 - Emergency Response","Emergency Response","138","failed","3","0","0","0","0","131056","Pair rate limit hit"
"Patiala Unit 47 - Emergency Response","Emergency Response","172","read","1","124","0","0","0","",""
"Haridwar Unit 49 - Emergency Response","Emergency Response","770","read","1","382","0","0","0","",""
"Shimla Ward 50 - Emergency Response","Emergency Response","56","read","1","23","2","0","0","",""
"Karnal Chapter 56 - Emergency Response","Emergency Response","57","read","1","20","0","0","0","",""
"Agra Unit 49 - Emergency Response","Emergency Response","757","read","1","233","0","0","0","",""
"Karnal Unit 55 - Emergency Response","Emergency Response","774","read","1","212","3","0","0","",""
"Patiala Chapter 9 - Emergency Response","Emergency Response","679","delivered","1","0","0","0","0","",""
"Gurugram Ward 54 - Emergency Response","Emergency Response","491","read","1","192","0","0","0","",""
"Noida Unit 60 - Emergency Response","Emergency Response","376","read","1","162","0","0","0","",""
"Meerut Unit 3 - Emergency Response","Emergency Response","164","delivered","1","0","0","0","0","",""
"Shimla Network 4 - Emergency Response","Emergency Response","119","read","1","83","0","0","0","",""
"Hisar Council 53 - Emergency Response","Emergency Response","800","delivered","1","0","0","0","0","",""
"Patiala Chapter 41 - Emergency Response","Emergency Response","718","delivered","1","0","0","0","0","",""
"Panchkula Chapter 41 - Emergency Response","Emergency Response","301","delivered","1","0","0","0","0","",""
"Jaipur Circle 37 - Emergency Response","Emergency Response","851","read","1","365","0","0","0","",""
"Noida Ward 21 - Emergency Response","Emergency Response","320","delivered","1","0","0","0","0","",""
"Yamunanagar Ward 49 - Emergency Response","Emergency Response","379","read","1","229","2","0","0","",""
"Rohtak Sector 36 - Emergency Response","Emergency Response","60","delivered","1","0","0","0","0","",""
"Faridabad Cell 28 - Emergency Response","Emergency Response","442","read","1","182","0","0","0","",""
"Rohtak Sector 59 - Emergency Response","Emergency Response","47","read","1","17","0","0","0","",""
"Faridabad Sector 12 - Emergency Response","Emergency Response","384","read","1","303","1","0","0","",""
"Noida Sector 24 - Emergency Response","Emergency Response","806","read","1","323","0","0","1","",""
"Faridabad Block 6 - Emergency Response","Emergency Response","795","read","1","673","0","0","0","",""
"Agra Block 11 - Emergency Response","Emergency Response","365","read","1","149","0","0","0","",""
"Solan Forum 37 - Emergency Response","Emergency Response","236","delivered","1","0","0","0","0","",""
"Gurugram Chapter 59 - Emergency Response","Emergency Response","859","delivered","1","0","0","0","0","",""
"Faridabad Council 52 - Emergency Response","Emergency Response","303","delivered","1","0","0","0","0","",""
"Faridabad Chapter 31 - Emergency Response","Emergency Response","682","read","1","308","2","0","0","",""
"Meerut Cell 9 - Emergency Response","Emergency Response","710","delivered","1","0","0","0","0","",""
"Noida Circle 47 - Emergency Response","Emergency Response","904","read","1","754","3","0","0","",""
"Faridabad Ward 26 - Emergency Response","Emergency Response","888","read","1","487","0","0","0","",""
"Sonipat Network 51 - Emergency Response","Emergency Response","578","read","1","358","0","0","0","",""
"Amritsar Network 38 - Emergency Response","Emergency Response","66","delivered","1","0","0","0","0","",""
"Meerut Unit 47 - Emergency Response","Emergency Response","392","read","1","313","0","0","0","",""
"Jaipur Ward 8 - Emergency Response","Emergency Response","661","read","1","321","0","0","0","",""
"Gurugram Ward 36 - Emergency Response","Emergency Response","813","read","1","533","0","0","0","",""
"Karnal Sector 49 - Emergency Response","Emergency Response","438","delivered","1","0","0","0","0","",""
"Gurugram Unit 50 - Emergency Response","Emergency Response","817","read","1","463","0","0","0","",""
"Bhiwani Circle 42 - Emergency Response","Emergency Response","316","read","1","187","0","0","0","",""
"Dehradun Network 38 - Emergency Response","Emergency Response","369","read","1","123","0","0","0","",""
"Rohtak Forum 26 - Emergency Response","Emergency Response","839","read","1","296","0","0","0","",""
"Rohtak Council 38 - Emergency Response","Emergency Response","183","delivered","1","0","0","0","0","",""
